main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
Swedish House Mafia,ZA,1,15,2021/10/28,2022/09/15,1647587,2,FALSE,FALSE,39,1
TAEYANG,ZA,1,158,2023/01/19,2023/01/19,35385,1,FALSE,FALSE,0,1
THE ANXIETY,ZA,1,38,2021/09/16,2022/03/17,1041478,2,FALSE,FALSE,26,2
Tai Verdes,ZA,1,162,2021/08/26,2021/10/21,183570,1,FALSE,FALSE,7,0
Tate McRae,ZA,8,14,2020/07/16,2024/06/20,10444883,5,FALSE,FALSE,187,1
Taylor Swift,ZA,108,3,2018/03/22,2024/06/20,21164370,7,FALSE,FALSE,489,11
Teddy Swims,ZA,1,24,2024/01/11,2024/06/20,3621593,1,FALSE,FALSE,23,0
The 1975,ZA,2,163,2018/06/07,2018/08/23,7479,1,TRUE,FALSE,1,0
The Chainsmokers,ZA,20,11,2018/03/15,2022/02/17,8694271,5,FALSE,FALSE,627,14
The Game,ZA,1,15,2022/01/20,2022/03/17,388497,1,FALSE,FALSE,8,1
The Kid LAROI,ZA,11,1,2020/06/18,2023/10/26,11923929,4,FALSE,FALSE,220,7
The Ronettes,ZA,1,47,2018/12/27,2023/12/28,302437,6,FALSE,TRUE,6,0
The Walters,ZA,1,179,2022/01/27,2022/02/03,46730,1,FALSE,FALSE,1,0
The Weeknd,ZA,53,1,2018/03/15,2024/06/20,47780358,7,FALSE,FALSE,994,13
Tinashe,ZA,1,165,2024/06/13,2024/06/20,165994,1,FALSE,FALSE,1,0
Tion Wayne,ZA,1,7,2021/05/06,2021/08/26,790669,1,FALSE,FALSE,16,8
Tisto,ZA,6,2,2018/05/24,2023/04/27,11338549,6,FALSE,FALSE,287,8
Tommy Richman,ZA,3,2,2024/05/02,2024/06/20,3524315,1,FALSE,FALSE,10,0
Tones And I,ZA,3,1,2019/08/08,2022/02/17,6537684,4,FALSE,FALSE,176,0
Travis Scott,ZA,46,1,2018/03/22,2024/06/20,26981305,7,FALSE,FALSE,667,24
Trippie Redd,ZA,9,22,2018/08/16,2021/10/07,741190,4,FALSE,FALSE,31,7
Troye Sivan,ZA,2,54,2018/05/10,2018/09/06,48766,1,FALSE,FALSE,10,1
Twenty One Pilots,ZA,14,46,2018/07/19,2021/04/15,400038,4,FALSE,FALSE,45,0
Tyga,ZA,10,6,2018/05/24,2022/08/25,1424200,4,FALSE,FALSE,111,11
Tyla,ZA,14,4,2021/02/18,2024/06/20,19556557,3,FALSE,FALSE,128,7
Tyler,ZA,28,4,2018/04/05,2024/05/30,3176513,5,FALSE,FALSE,86,14
V,ZA,1,173,2023/08/17,2023/08/17,51356,1,TRUE,FALSE,0,0
WILLOW,ZA,2,39,2021/06/10,2022/07/28,936822,2,FALSE,FALSE,26,1
Wham!,ZA,2,5,2018/12/06,2023/12/28,1203478,6,FALSE,FALSE,22,0
Why Don't We,ZA,5,79,2018/08/30,2020/04/16,303960,3,FALSE,FALSE,33,1
Wiz Khalifa,ZA,2,86,2018/07/19,2018/09/27,49563,1,FALSE,FALSE,10,2
Wizkid,ZA,2,138,2022/11/17,2022/11/17,73994,1,FALSE,FALSE,1,1
Young Stoner Life,ZA,7,13,2021/04/22,2021/08/26,1075905,1,FALSE,FALSE,35,11
Young Thug,ZA,30,4,2018/08/23,2023/08/24,3230044,5,FALSE,FALSE,135,17
Zac Efron,ZA,1,197,2019/01/24,2019/01/24,6359,1,FALSE,FALSE,0,1
Zedd,ZA,5,8,2018/03/15,2021/01/07,2640328,4,FALSE,FALSE,233,6
benny blanco,ZA,10,2,2018/07/19,2024/04/11,4896734,7,FALSE,FALSE,205,15
blackbear,ZA,2,11,2019/08/29,2021/03/18,2108964,3,FALSE,FALSE,89,0
d4vd,ZA,2,56,2022/09/15,2023/03/30,1789068,2,FALSE,FALSE,38,0
j-hope,ZA,3,59,2022/07/07,2023/03/23,265378,2,FALSE,FALSE,5,1
mgk,ZA,1,68,2018/10/11,2018/10/11,6403,1,FALSE,FALSE,0,0
salem ilese,ZA,1,53,2020/09/10,2020/11/26,256035,1,FALSE,FALSE,11,0
$,Global,14,2,2024/02/15,2024/06/20,810743489,1,FALSE,FALSE,43,4
21 Savage,Global,44,8,2016/12/29,2024/06/20,1851811839,7,FALSE,FALSE,210,15
24kGoldn,Global,4,1,2019/10/03,2022/05/05,1602221661,4,FALSE,FALSE,122,3
4batz,Global,2,55,2024/02/01,2024/03/21,79051455,1,FALSE,FALSE,7,1
5 Seconds of Summer,Global,9,8,2018/03/01,2020/08/27,1305729971,3,TRUE,FALSE,164,1
A$AP Rocky,Global,12,25,2018/03/01,2024/06/06,424822220,4,FALSE,FALSE,58,9
ACRAZE,Global,1,9,2021/11/04,2022/08/11,461769872,2,FALSE,FALSE,39,1
AJR,Global,1,25,2016/12/29,2017/08/10,222210107,2,TRUE,FALSE,32,0
ATB,Global,1,26,2021/02/04,2021/09/30,344772188,1,FALSE,FALSE,34,2
AURORA,Global,1,19,2021/04/01,2021/08/19,198554137,1,FALSE,FALSE,20,0
Adele,Global,24,1,2016/12/29,2024/03/28,3201551343,7,FALSE,FALSE,314,0
Agust D,Global,4,21,2020/05/28,2023/05/18,119097751,2,FALSE,FALSE,9,1
Alan Walker,Global,9,36,2016/12/29,2020/04/30,911255337,5,FALSE,FALSE,162,10
Alessia Cara,Global,5,19,2016/12/29,2019/12/26,421013098,4,FALSE,FALSE,62,0
Alesso,Global,5,53,2017/10/19,2022/01/20,111619387,5,FALSE,FALSE,19,5
Ali Gatie,Global,2,27,2019/06/20,2020/10/29,638456940,2,FALSE,FALSE,76,0
Amaarae,Global,1,23,2021/11/04,2022/02/24,154016663,2,FALSE,FALSE,16,2
Anderson .Paak,Global,1,121,2018/10/11,2018/10/11,5600121,1,FALSE,FALSE,0,1
Andy Grammer,Global,1,103,2016/12/29,2017/03/16,46997144,2,FALSE,FALSE,11,0
Andy Williams,Global,2,7,2016/12/29,2023/12/28,681021034,8,FALSE,FALSE,41,0
Anne-Marie,Global,7,27,2017/01/05,2021/07/29,781346445,5,FALSE,FALSE,114,4
Ariana Grande,Global,70,1,2016/12/29,2024/06/20,10997378394,9,FALSE,FALSE,935,18
Arizona Zervas,Global,2,2,2019/10/31,2021/03/04,1040456257,3,FALSE,FALSE,74,0
Armani White,Global,1,67,2022/09/01,2022/11/17,101156244,1,FALSE,FALSE,11,0
Artemas,Global,2,1,2024/03/21,2024/06/20,705832468,1,FALSE,FALSE,21,0
Ava Max,Global,7,6,2018/10/04,2023/12/28,1734868303,6,FALSE,FALSE,201,0
Avicii,Global,25,4,2017/08/17,2024/06/20,2290826861,8,FALSE,FALSE,317,11
Avril Lavigne,Global,2,129,2018/09/27,2019/02/21,28113393,2,FALSE,FALSE,5,1
BLACKPINK,Global,23,1,2017/06/29,2023/09/07,2134368322,7,FALSE,TRUE,203,2
BTS,Global,70,2,2017/09/21,2023/07/27,4457227940,7,TRUE,FALSE,442,10
Baby Keem,Global,3,30,2021/05/06,2022/03/03,211540065,2,FALSE,FALSE,27,2
Bad Bunny,Global,99,1,2017/11/09,2024/06/20,20903663474,8,FALSE,FALSE,1629,38
Bazzi,Global,8,3,2018/01/25,2020/04/09,1235509546,3,FALSE,FALSE,157,2
Bebe Rexha,Global,7,18,2016/12/29,2020/10/22,1139124252,5,FALSE,FALSE,167,4
Bella Poarch,Global,1,20,2021/05/20,2021/09/02,199535779,1,FALSE,FALSE,15,0
Belly,Global,2,89,2021/07/29,2021/09/02,13290018,1,FALSE,FALSE,1,3
Benson Boone,Global,5,1,2021/10/28,2024/06/20,1418388974,3,FALSE,FALSE,67,0
Beyonc,Global,43,2,2017/02/16,2024/06/20,1827303731,7,FALSE,FALSE,153,19
Billie Eilish,Global,55,1,2018/04/26,2024/06/20,14144874332,7,FALSE,FALSE,1395,3
Bing Crosby,Global,7,26,2016/12/29,2023/12/28,447692379,8,FALSE,FALSE,45,3
Black Eyed Peas,Global,5,9,2019/10/17,2024/01/04,1150726784,6,FALSE,FALSE,110,5
Blxst,Global,1,85,2021/07/29,2021/11/11,105790086,1,FALSE,FALSE,15,2
Bobby Helms,Global,1,4,2016/12/29,2023/12/28,791195615,8,FALSE,FALSE,42,0
BoyWithUke,Global,2,23,2021/10/21,2022/06/02,363588001,2,FALSE,FALSE,37,1
Brenda Lee,Global,1,3,2016/12/29,2023/12/28,868187619,8,FALSE,FALSE,43,0
Britney Spears,Global,1,55,2016/12/29,2023/12/28,190944268,8,FALSE,FALSE,22,0
Bruno Mars,Global,16,4,2016/12/29,2024/06/20,5427674263,7,FALSE,FALSE,620,5
Burl Ives,Global,2,23,2016/12/29,2023/12/28,352804703,8,FALSE,FALSE,33,0
CJ,Global,1,8,2020/10/29,2021/07/08,421701405,2,FALSE,FALSE,36,0
CKay,Global,3,9,2021/09/16,2022/06/23,831983260,2,FALSE,FALSE,72,3
Calvin Harris,Global,22,2,2016/12/29,2024/06/20,3892280958,9,FALSE,FALSE,409,28
Camila Cabello,Global,26,1,2017/05/25,2024/04/11,3598679174,8,FALSE,FALSE,361,9
Cardi B,Global,20,1,2017/08/03,2023/09/14,3177261400,7,FALSE,FALSE,299,12
Carolina Gaitn - La Gaita,Global,1,8,2021/12/30,2022/05/12,267949875,2,FALSE,FALSE,19,6
Central Cee,Global,4,13,2021/09/16,2024/06/20,681783412,4,FALSE,FALSE,50,1
Charli XCX,Global,3,51,2017/08/03,2023/09/28,157265194,3,FALSE,FALSE,20,1
Charlie Puth,Global,8,5,2016/12/29,2023/11/30,2297538691,6,FALSE,FALSE,244,4
Chle,Global,1,88,2021/09/16,2021/10/28,45572324,1,FALSE,FALSE,6,0
Chris Brown,Global,9,6,2017/01/12,2023/10/05,1832608405,6,FALSE,FALSE,182,10
Clean Bandit,Global,6,3,2016/12/29,2020/11/26,2011966723,5,FALSE,FALSE,208,9
Clinton Kane,Global,1,75,2021/08/26,2021/11/18,97754402,1,FALSE,FALSE,12,0
Coi Leray,Global,1,20,2023/01/26,2023/06/22,285516533,1,FALSE,FALSE,21,0
Coldplay,Global,15,3,2016/12/29,2024/06/20,4022165042,9,FALSE,FALSE,447,4
Conan Gray,Global,3,12,2020/01/02,2024/03/21,1421410709,5,FALSE,FALSE,182,0
DJ Khaled,Global,21,2,2017/02/23,2022/09/22,2268953792,6,FALSE,FALSE,201,27
DJ Snake,Global,10,1,2016/12/29,2024/01/11,1873760844,7,FALSE,FALSE,180,17
DaBaby,Global,16,1,2019/05/02,2021/09/02,2292575826,3,FALSE,FALSE,219,9
Dan + Shay,Global,2,5,2018/04/05,2020/11/26,500455274,3,FALSE,FALSE,58,1
Daniel Caesar,Global,1,110,2019/01/03,2019/04/04,79402592,1,FALSE,FALSE,13,1
Dave,Global,4,6,2021/07/15,2024/01/18,653836907,4,FALSE,FALSE,45,2
David Guetta,Global,15,2,2017/01/05,2024/06/20,3483242503,6,FALSE,FALSE,307,19
David Kushner,Global,3,5,2022/01/13,2024/06/20,1120721833,3,FALSE,FALSE,63,0
Dean Lewis,Global,3,12,2018/07/26,2023/02/02,1063430294,6,FALSE,FALSE,142,0
Dean Martin,Global,3,6,2018/12/06,2023/12/28,595468371,6,FALSE,FALSE,44,0
Demi Lovato,Global,8,7,2017/07/13,2022/06/02,807089353,5,FALSE,FALSE,99,1
Djo,Global,1,3,2024/02/22,2024/06/20,677815698,1,FALSE,FALSE,17,0
Doja Cat,Global,23,1,2019/11/14,2024/06/20,7721588703,6,FALSE,FALSE,617,7
Dominic Fike,Global,4,51,2019/01/31,2024/06/20,416360698,5,FALSE,FALSE,61,1
Don Toliver,Global,9,26,2019/12/05,2024/06/20,554090195,5,FALSE,FALSE,72,5
Dove Cameron,Global,1,11,2022/02/17,2022/09/15,306961058,1,FALSE,FALSE,30,0
Drake,Global,158,1,2016/12/29,2024/06/20,15601481032,9,FALSE,FALSE,1493,41
Dua Lipa,Global,27,2,2017/02/16,2024/06/20,9351632109,8,FALSE,FALSE,811,6
Duncan Laurence,Global,1,23,2019/05/23,2022/03/17,489483726,3,FALSE,FALSE,58,0
Ed Sheeran,Global,61,1,2016/12/29,2024/03/28,16166726297,9,FALSE,FALSE,1835,30
Elley Duh,Global,1,11,2021/12/30,2023/02/09,663695650,3,FALSE,FALSE,58,0
Elton John,Global,5,4,2016/12/29,2024/06/20,2212562237,9,FALSE,FALSE,170,3
ElyOtto,Global,1,53,2021/02/25,2021/05/13,90467455,1,FALSE,FALSE,11,0
Em Beihold,Global,1,69,2022/02/03,2022/05/05,97874159,1,FALSE,FALSE,13,0
Eminem,Global,62,1,2017/01/05,2024/06/20,7032455394,8,FALSE,FALSE,843,28
Emmy Meli,Global,1,51,2021/12/02,2022/02/17,95524954,2,FALSE,FALSE,11,0
FIFTY FIFTY,Global,2,4,2023/03/23,2024/01/11,765072571,2,FALSE,TRUE,46,0
Farruko,Global,5,4,2017/01/05,2023/01/05,1485813405,5,FALSE,FALSE,124,5
Fireboy DML,Global,1,89,2021/12/30,2022/02/10,44442177,2,FALSE,FALSE,6,1
Fivio Foreign,Global,2,57,2022/02/17,2022/07/14,28209307,1,FALSE,FALSE,3,3
Frank Ocean,Global,6,50,2017/03/16,2024/06/20,757687147,5,FALSE,FALSE,81,0
Frank Sinatra,Global,4,19,2016/12/29,2023/12/28,619243877,8,FALSE,FALSE,56,1
Future,Global,54,3,2016/12/29,2024/06/20,3172394492,9,FALSE,FALSE,321,19
GAYLE,Global,2,1,2021/11/18,2022/09/15,784254446,2,FALSE,FALSE,44,0
Galantis,Global,5,46,2016/12/29,2021/10/07,291063271,4,FALSE,FALSE,51,4
Giveon,Global,1,8,2021/02/18,2022/01/20,519289468,2,FALSE,FALSE,46,0
Glass Animals,Global,1,1,2020/12/31,2024/06/20,2826617430,5,FALSE,FALSE,174,0
Gunna,Global,17,9,2019/02/07,2024/06/20,1114947845,6,FALSE,FALSE,98,7
Gwen Stefani,Global,1,88,2018/12/27,2023/12/28,93069425,6,FALSE,FALSE,9,1
H.E.R.,Global,1,150,2021/04/29,2021/04/29,5531998,1,FALSE,FALSE,0,1
Halsey,Global,14,4,2017/01/19,2023/06/15,2086955620,7,FALSE,FALSE,232,3
Harry Styles,Global,35,1,2017/04/13,2024/06/20,10042187119,8,FALSE,FALSE,801,0
Hozier,Global,4,2,2017/01/26,2024/06/20,1588585102,8,FALSE,FALSE,163,0
Imagine Dragons,Global,21,3,2017/02/09,2024/06/20,8181926004,8,FALSE,FALSE,964,3
Internet Money,Global,6,2,2019/10/24,2021/11/11,947930278,3,FALSE,FALSE,78,10
J Balvin,Global,38,1,2016/12/29,2023/03/30,5973642722,8,FALSE,FALSE,714,24
J. Cole,Global,38,2,2016/12/29,2024/05/30,2563510760,9,FALSE,FALSE,298,12
JID,Global,1,34,2023/11/23,2024/03/28,248145560,2,FALSE,FALSE,18,2
JIN,Global,2,32,2021/11/11,2022/12/01,58278912,2,FALSE,FALSE,5,0
JP Saxe,Global,1,38,2019/11/14,2021/05/20,570566236,3,FALSE,FALSE,78,1
JVKE,Global,3,14,2022/03/10,2024/01/11,964413007,3,FALSE,FALSE,75,4
Jack Harlow,Global,12,2,2020/02/06,2024/06/20,2185625594,5,FALSE,FALSE,176,6
James Arthur,Global,8,7,2016/12/29,2024/06/20,2664919890,9,FALSE,FALSE,396,1
Jason Derulo,Global,9,6,2017/03/02,2022/02/03,1437612762,5,FALSE,FALSE,177,10
Jawsh 685,Global,2,1,2020/06/18,2021/07/01,820476444,2,FALSE,FALSE,61,2
Jaymes Young,Global,1,11,2021/10/21,2022/08/25,461870187,2,FALSE,FALSE,42,0
Jeremy Zucker,Global,1,111,2019/07/11,2019/11/28,111135224,1,FALSE,FALSE,20,0
Jimin,Global,7,14,2022/04/28,2024/06/20,1186757233,3,FALSE,FALSE,88,1
Joel Corry,Global,3,11,2020/07/16,2022/01/27,1166383239,3,FALSE,FALSE,116,6
John Mayer,Global,6,63,2017/01/26,2021/07/22,92482122,4,FALSE,FALSE,15,0
Joji,Global,21,1,2018/09/20,2023/06/22,1476449471,5,FALSE,FALSE,138,3
Jonas Blue,Global,7,11,2016/12/29,2019/07/25,1243980417,4,FALSE,FALSE,168,8
Jonas Brothers,Global,7,2,2019/03/07,2023/12/28,1268521661,4,TRUE,FALSE,141,1
Jos Feliciano,Global,1,8,2016/12/29,2023/12/28,501545208,8,FALSE,FALSE,33,0
Juice WRLD,Global,59,3,2018/05/17,2022/12/22,6157804392,5,FALSE,FALSE,748,16
Jung Kook,Global,15,1,2022/02/17,2024/06/20,2904046957,3,FALSE,FALSE,144,6
Justin Bieber,Global,40,1,2016/12/29,2024/04/18,6896971307,9,FALSE,FALSE,627,18
Kali Uchis,Global,4,2,2021/02/25,2024/03/28,1264302827,3,FALSE,FALSE,100,2
Kane Brown,Global,3,86,2017/10/12,2021/07/15,135829797,3,FALSE,FALSE,23,4
Kanye West,Global,57,1,2017/01/05,2024/04/18,2786959174,8,FALSE,FALSE,277,12
Kate Bush,Global,1,1,2022/06/02,2023/01/26,753614642,2,FALSE,FALSE,33,0
Katy Perry,Global,10,7,2017/02/16,2022/11/03,865539651,4,FALSE,FALSE,109,4
Kehlani,Global,3,37,2019/01/17,2022/04/07,112395103,3,FALSE,FALSE,14,2
Kelly Clarkson,Global,2,9,2017/12/28,2023/12/28,582252363,7,FALSE,FALSE,40,1
Kendrick Lamar,Global,41,1,2017/03/30,2024/06/20,4565616208,7,FALSE,FALSE,463,17
Kenya Grace,Global,1,4,2023/09/07,2024/04/18,673225048,2,FALSE,FALSE,32,0
Khalid,Global,29,7,2017/02/09,2021/10/28,3874085160,5,FALSE,FALSE,465,9
Kodak Black,Global,11,3,2017/02/23,2023/07/06,1283878249,6,FALSE,FALSE,167,10
Kygo,Global,24,2,2017/01/05,2024/06/20,2935534955,6,FALSE,FALSE,350,24
LISA,Global,2,5,2021/09/16,2023/09/07,557081289,3,FALSE,FALSE,46,0
Labrinth,Global,9,29,2019/08/15,2023/05/25,590536693,4,FALSE,FALSE,79,1
Lady Gaga,Global,23,1,2017/01/05,2023/03/16,3407504170,7,FALSE,FALSE,376,4
Lana Del Rey,Global,28,18,2017/02/23,2024/06/20,1594260497,8,FALSE,FALSE,192,4
Lauv,Global,15,18,2017/01/19,2020/10/29,1988943629,4,FALSE,FALSE,299,6
Lay Bankz,Global,1,23,2024/04/18,2024/06/13,148735792,1,FALSE,FALSE,8,0
Leah Kate,Global,1,117,2022/04/28,2022/06/09,43939041,1,FALSE,FALSE,6,0
Lewis Capaldi,Global,7,4,2019/01/10,2024/06/20,5009343845,6,FALSE,FALSE,483,0
Lil Durk,Global,3,17,2021/12/23,2023/08/24,221397924,3,FALSE,FALSE,19,2
Lil Mosey,Global,3,8,2018/09/06,2021/06/03,1094023752,4,FALSE,FALSE,110,1
Lil Nas X,Global,25,1,2019/03/14,2024/01/18,6461569394,6,FALSE,FALSE,434,13
Lil Tjay,Global,8,4,2019/09/05,2022/09/08,570661330,4,FALSE,FALSE,65,7
Lil Uzi Vert,Global,55,10,2016/12/29,2023/07/06,2867743407,7,FALSE,FALSE,347,15
Lizzo,Global,8,9,2019/05/02,2023/03/09,1558376441,5,FALSE,FALSE,152,2
Lizzy McAlpine,Global,1,35,2023/02/23,2023/06/01,179527000,1,FALSE,FALSE,14,0
Lorde,Global,13,24,2017/03/09,2021/08/26,366439962,2,FALSE,FALSE,55,3
Lost Frequencies,Global,1,18,2021/09/09,2023/01/26,765580936,3,FALSE,FALSE,69,1
MAX,Global,3,135,2017/03/02,2020/11/19,72777247,3,FALSE,FALSE,16,2
MEDUZA,Global,5,14,2019/04/18,2023/01/05,1401779405,5,FALSE,FALSE,162,7
Madison Beer,Global,5,79,2018/04/19,2024/03/28,161822072,4,FALSE,FALSE,25,1
Majestic,Global,1,40,2021/04/29,2022/01/06,207238320,2,FALSE,FALSE,23,1
Mariah Carey,Global,3,1,2016/12/29,2023/12/28,1578846214,8,FALSE,FALSE,78,2
Maroon 5,Global,16,2,2016/12/29,2024/04/18,4581338860,9,TRUE,FALSE,486,11
Marshmello,Global,17,2,2017/08/17,2023/10/05,4302145014,7,FALSE,FALSE,446,18
Martin Garrix,Global,14,5,2016/12/29,2021/08/12,1813986525,6,FALSE,FALSE,221,19
Masked Wolf,Global,1,3,2021/01/21,2022/02/03,778977393,2,FALSE,FALSE,54,0
Megan Thee Stallion,Global,11,13,2019/08/15,2024/02/08,900088281,5,FALSE,FALSE,104,6
Meghan Trainor,Global,3,8,2017/12/28,2023/05/18,487091723,6,FALSE,FALSE,36,0
